short_name,first_name,year_turned_pro,weight_in_kg,bib_number,racing_age,rider_url,picture_url
"Friedman, M.",Michael,2006,77,128,30,http://www.optumprocycling.com/teams/mike-friedman/,http://www.optumprocycling.com/wp-content/files_mf/1328292408mridersmfriedman.jpg
"Fuglsang, j.",Jakob,,,32,27,,
"Garderen, T.",Tejay,2008,69,28,24,http://www.bmcracingteam.com/team/rider-bios/tejay-van-garderen/,http://www.bmcracingteam.com/typo3temp/pics/b07e3b9d32.jpg
"Gianetti, N.",Noe,,,144,23,,http://teamexergy.com/wp-content/Prestige_temp/projects/noe_1329340849.jpg
"Gomez Pineda, J.",Javier,,,158,21,http://www.equipociclismoepmune.com/equipo/item/1-une-epm/17-javier-gomez.html,http://www.equipociclismoepmune.com/images/djcatalog/1236%20javier%20gomezprev_m.jpg
"Haas, N.",Nathan,2012,70,13,23,http://www.slipstreamsports.com/garmin-slipstream-pro-team/nathan-haas,http://www.slipstreamsports.com/wp-content/uploads/2012/06/pro_racers_nh.jpg
"Hincapie, G.",George,1994,77,27,39,http://www.bmcracingteam.com/team/rider-bios/george-hincapie/,http://www.bmcracingteam.com/typo3temp/pics/699c34d77e.jpg
"Hoorne, J.",Jeroen,,,5,24,,
"Horner, C.",Christopher,,66,31,41,http://www.radioshacknissantrek.com/team/riders/chris-horner,http://www.radioshacknissantrek.com/sites/default/files/rider-image/chris_horner.jpg
"Houle, H.",Hugo,2011,71,95,22,http://cyclesportmanagement.com/team/hugo-houle/,http://cyclesportmanagement.com/blog/wp-content/uploads/houle_jersey.jpg
"Howes, A.",Alex,2012,61,14,24,http://www.slipstreamsports.com/garmin-slipstream-pro-team/alex-howes,http://www.slipstreamsports.com/wp-content/uploads/2012/06/pro_racers_ah.jpg
"Jacques-Maynes, B.",Ben,2002,75,113,34,http://www.bissellprocycling.com/ben-jacques-maynes,http://www.bissellprocycling.com/assets/501217/bjm_banner.jpg
"Johnson, S.",Sam,,,148,29,http://teamexergy.com/project/sam-johnson/,http://teamexergy.com/wp-content/Prestige_temp/projects/Bio_Rem_920i_post_1297449542.jpg
"Jones, C.",Christopher,,63.5,77,33,http://uhcprocycling.com/chris-jones/,http://www.uhcprocycling.com/static/portraits2012/ChrisJones.jpg
"Jones, C.",Carter,,67,114,23,http://www.bissellprocycling.com/carter-jones,http://www.bissellprocycling.com/assets/501217/jones_ban.jpg
"Kangert, T.",Tanel,2008,66,53,25,http://proteam-astana.com/en/team/roster#tanel-kangert,http://proteam-astana.com/images/team/KANGERT-TANEL.jpg
"Keough, J.",Jacobe,2007,68,75,25,http://uhcprocycling.com/jake-keough/,http://www.uhcprocycling.com/static/portraits2012/JakeKeough.jpg
"King, B.",Benjamin,,67,34,23,http://www.radioshacknissantrek.com/team/riders/ben-king,http://www.radioshacknissantrek.com/sites/default/files/rider-image/ben_king.jpg
"King, E.",Edward,,,44,29,,
"Klimov, S.",Sergey,2001,69,68,32,http://www.rusveloteam.com/team/26.html,http://www.rusveloteam.com/images/team/Klimov.jpg
"Kloden, A.",Andreas,,63,35,37,http://www.radioshacknissantrek.com/team/riders/andreas-kloden,http://www.radioshacknissantrek.com/sites/default/files/rider-image/andreas_kloeden.jpg
